Cus.ID,Date,Cus. Location,Age,Gender,Mobile Name,Sell Price,Does he/she Come from Facebook Page?,Does he/she Followed Our Page?,Did he/she buy any mobile before?,Did he/she hear of our shop before?,
2404,16-08-2024,Outside Rangamati,48,M,iQOO Neo 9 Pro 5G 12/256,40270,No,Yes,Yes,Yes,
2405,16-08-2024,Rangamati Sadar,33,F,Galaxy A55 5G 8/128,16240,No,Yes,Yes,Yes,
2406,16-08-2024,Outside Rangamati,24,M,Moto G85 5G 8/128,19890,Yes,No,No,Yes,
2407,16-08-2024,Outside Rangamati,48,M,Moto G85 5G 8/128,23780,No,No,No,Yes,
2408,17-08-2024,Outside Rangamati,43,M,iQOO Z7 5G 6/128,26145,No,No,Yes,No,
2409,17-08-2024,Rangamati Sadar,20,M,Moto G85 5G 8/128,12834,Yes,No,No,No,
2410,17-08-2024,Rangamati Sadar,22,M,Moto G85 5G 8/128,21682,Yes,No,No,No,
2411,17-08-2024,Outside Rangamati,30,F,Galaxy S24 Ultra 12/256,14842,No,No,No,Yes,
2412,17-08-2024,Rangamati Sadar,26,M,iQOO Neo 9 Pro 5G 12/256,22760,Yes,Yes,No,Yes,
2413,17-08-2024,Inside Rangamati,27,F,Vivo Y200 5G 6/128,18541,Yes,Yes,No,Yes,
2414,17-08-2024,Outside Rangamati,28,F,Note 11S 6/128,18802,No,No,Yes,No,
2415,17-08-2024,Outside Rangamati,49,F,Redmi Note 12 Pro 8/128,22597,No,No,No,Yes,
2416,17-08-2024,Outside Rangamati,26,F,iQOO Neo 9 Pro 5G 12/256,18106,No,No,No,Yes,
2417,17-08-2024,Inside Rangamati,40,F,iPhone 16 Pro Max 1TB,12975,No,Yes,No,No,
2418,17-08-2024,Rangamati Sadar,20,F,iPhone 16 Pro Max 1TB,20746,No,Yes,Yes,Yes,
2419,17-08-2024,Inside Rangamati,35,M,Vivo T3x 5G 8/128,22955,No,Yes,No,No,
2420,17-08-2024,Outside Rangamati,39,F,Note 11S 6/128,23900,No,Yes,No,Yes,
2421,17-08-2024,Rangamati Sadar,40,M,Note 11S 6/128,16395,No,No,No,Yes,
2422,17-08-2024,Outside Rangamati,18,F,iQOO Neo 9 Pro 5G 12/256,15091,No,No,No,Yes,
2423,17-08-2024,Rangamati Sadar,45,M,Vivo T3x 5G 8/128,19864,No,No,No,No,
2424,17-08-2024,Rangamati Sadar,21,M,Note 11S 6/128,17951,No,No,No,Yes,
2425,17-08-2024,Inside Rangamati,36,F,Vivo T3x 5G 8/128,25329,No,Yes,No,Yes,
2426,17-08-2024,Outside Rangamati,22,M,Note 11S 6/128,19539,Yes,No,Yes,Yes,
2427,17-08-2024,Rangamati Sadar,23,M,Galaxy S24 Ultra 12/256,20043,Yes,Yes,No,No,
2428,17-08-2024,Outside Rangamati,45,M,R-70 Turbo 5G 6/128,17120,No,No,Yes,Yes,
2429,17-08-2024,Rangamati Sadar,26,F,Narzo N53 4/64,24731,Yes,No,No,Yes,
2430,17-08-2024,Rangamati Sadar,40,M,Galaxy S24 Ultra 12/256,67747,Yes,No,No,Yes,
2431,17-08-2024,Outside Rangamati,33,M,Pixel 7a 8/128,44253,Yes,No,No,No,
2432,17-08-2024,Rangamati Sadar,46,F,Pixel 7a 8/128,44123,Yes,Yes,No,Yes,
2433,17-08-2024,Outside Rangamati,24,F,iPhone 16 Pro Max 1TB,18489,No,No,Yes,Yes,
2434,17-08-2024,Rangamati Sadar,35,F,Pixel 8 Pro 12/256,18294,No,Yes,Yes,No,
2435,18-08-2024,Rangamati Sadar,21,F,Note 11S 6/128,18496,No,No,No,Yes,
2436,18-08-2024,Rangamati Sadar,48,F,Note 14 Pro 5G 8/256,18008,Yes,No,No,Yes,
2437,18-08-2024,Outside Rangamati,25,F,Vivo Y200 5G 6/128,23685,No,No,Yes,No,
2438,18-08-2024,Rangamati Sadar,29,F,Note 14 Pro 5G 8/256,26100,Yes,No,No,No,
2439,18-08-2024,Outside Rangamati,34,M,Note 14 Pro 5G 8/256,36279,No,Yes,No,Yes,
2440,18-08-2024,Outside Rangamati,26,F,Galaxy M35 5G 8/128,20606,No,No,No,Yes,
2441,18-08-2024,Rangamati Sadar,26,M,Pixel 7a 8/128,16962,Yes,Yes,No,No,
2442,18-08-2024,Rangamati Sadar,25,M,Pixel 8 Pro 12/256,50958,Yes,No,No,Yes,
2443,18-08-2024,Outside Rangamati,38,M,iQOO Neo 9 Pro 5G 12/256,40573,No,No,No,Yes,
2444,18-08-2024,Inside Rangamati,47,M,iQOO Neo 9 Pro 5G 12/256,14507,Yes,No,No,No,
2445,18-08-2024,Inside Rangamati,23,M,Galaxy A55 5G 8/128,39616,No,Yes,No,Yes,
2446,18-08-2024,Outside Rangamati,25,M,Pixel 8 Pro 12/256,13781,Yes,Yes,No,Yes,
2447,18-08-2024,Rangamati Sadar,41,M,Narzo N53 4/64,26915,No,Yes,No,No,
2448,18-08-2024,Outside Rangamati,29,F,Note 11S 6/128,15698,No,No,No,No,
2449,18-08-2024,Inside Rangamati,42,M,Pixel 8 Pro 12/256,21137,Yes,Yes,No,Yes,
2450,18-08-2024,Rangamati Sadar,40,F,Galaxy A55 5G 8/128,39062,Yes,Yes,No,No,
2451,18-08-2024,Inside Rangamati,38,F,Galaxy A55 5G 8/128,43038,No,No,No,No,
2452,18-08-2024,Inside Rangamati,50,M,Pixel 8 Pro 12/256,16646,No,No,No,No,
2453,18-08-2024,Inside Rangamati,28,M,iPhone 16 Pro 256GB,18940,No,Yes,No,Yes,
2454,18-08-2024,Outside Rangamati,25,M,Galaxy M35 5G 8/128,21495,Yes,Yes,No,Yes,
2455,18-08-2024,Outside Rangamati,42,F,Galaxy S24 Ultra 12/256,25873,No,No,No,No,
2456,18-08-2024,Rangamati Sadar,44,F,Narzo N53 4/64,21799,No,No,No,Yes,
2457,18-08-2024,Outside Rangamati,43,M,Galaxy M35 5G 8/128,25724,Yes,No,No,No,
2458,18-08-2024,Inside Rangamati,39,F,R-70 Turbo 5G 6/128,20902,No,Yes,No,No,
2459,18-08-2024,Outside Rangamati,40,F,Moto G85 5G 8/128,26356,Yes,No,No,No,
2460,18-08-2024,Outside Rangamati,43,F,Moto G85 5G 8/128,17063,No,No,No,Yes,
2461,18-08-2024,Rangamati Sadar,32,F,Redmi Note 12 Pro 8/128,14151,Yes,Yes,No,No,
2462,18-08-2024,Inside Rangamati,44,M,Narzo N53 4/64,24077,Yes,No,Yes,Yes,
2463,18-08-2024,Rangamati Sadar,39,F,iQOO Neo 9 Pro 5G 12/256,13508,No,No,No,Yes,
2464,18-08-2024,Inside Rangamati,25,F,iPhone 16 Pro 256GB,24960,No,No,No,No,
2465,18-08-2024,Inside Rangamati,25,F,Note 11S 6/128,18389,Yes,No,Yes,Yes,
2466,18-08-2024,Inside Rangamati,37,M,iQOO Neo 9 Pro 5G 12/256,16910,No,No,No,Yes,
2467,18-08-2024,Rangamati Sadar,39,M,Vivo Y200 5G 6/128,23579,Yes,No,No,No,
2468,18-08-2024,Rangamati Sadar,18,F,Moto G85 5G 8/128,23654,Yes,Yes,No,Yes,
2469,18-08-2024,Outside Rangamati,29,M,Redmi Note 12 Pro 8/128,27033,No,Yes,No,No,
2470,18-08-2024,Rangamati Sadar,29,M,Redmi Note 12 Pro 8/128,20790,No,Yes,Yes,Yes,
2471,18-08-2024,Inside Rangamati,49,M,R-70 Turbo 5G 6/128,24401,Yes,No,No,Yes,
2472,18-08-2024,Outside Rangamati,32,F,Vivo Y200 5G 6/128,19845,No,Yes,No,Yes,
2473,18-08-2024,Inside Rangamati,28,M,Galaxy S24 Ultra 12/256,13265,Yes,Yes,No,Yes,
2474,18-08-2024,Inside Rangamati,29,M,Vivo Y200 5G 6/128,25241,No,No,No,Yes,
2475,19-08-2024,Outside Rangamati,38,M,iQOO Neo 9 Pro 5G 12/256,23336,No,No,Yes,No,
2476,19-08-2024,Outside Rangamati,43,F,Galaxy M35 5G 8/128,12881,No,Yes,No,No,
2477,19-08-2024,Inside Rangamati,32,F,Galaxy S24 Ultra 12/256,14214,No,No,No,No,
2478,19-08-2024,Rangamati Sadar,32,F,iQOO Neo 9 Pro 5G 12/256,18367,No,Yes,No,Yes,
2479,19-08-2024,Rangamati Sadar,31,M,Pixel 8 Pro 12/256,18655,No,No,No,Yes,
2480,19-08-2024,Inside Rangamati,29,M,R-70 Turbo 5G 6/128,22947,Yes,Yes,No,Yes,
2481,19-08-2024,Rangamati Sadar,19,M,Galaxy S24 Ultra 12/256,14922,No,No,No,Yes,
2482,19-08-2024,Rangamati Sadar,50,M,Galaxy S24 Ultra 12/256,18149,No,Yes,No,Yes,
2483,19-08-2024,Inside Rangamati,39,M,iPhone 16 Pro 256GB,69832,Yes,No,Yes,No,
2484,19-08-2024,Outside Rangamati,50,F,iPhone 16 Pro Max 1TB,25868,No,No,No,Yes,
2485,19-08-2024,Inside Rangamati,26,F,Pixel 8 Pro 12/256,13319,No,No,No,Yes,
2486,19-08-2024,Rangamati Sadar,37,M,iQOO Neo 9 Pro 5G 12/256,18327,No,No,Yes,Yes,
2487,19-08-2024,Inside Rangamati,22,F,Narzo N53 4/64,19710,Yes,Yes,No,No,
2488,19-08-2024,Rangamati Sadar,31,F,Vivo Y200 5G 6/128,23124,No,No,Yes,No,
2489,19-08-2024,Inside Rangamati,36,F,Vivo T3x 5G 8/128,17305,Yes,No,No,Yes,
2490,19-08-2024,Rangamati Sadar,48,M,Redmi Note 12 Pro 8/128,18059,No,No,No,No,
2491,19-08-2024,Rangamati Sadar,46,F,Moto G85 5G 8/128,21704,Yes,No,No,No,
2492,19-08-2024,Rangamati Sadar,50,M,Vivo T3x 5G 8/128,22601,No,No,No,No,
2493,19-08-2024,Outside Rangamati,42,M,iPhone 16 Pro Max 1TB,200282,No,No,No,Yes,
2494,19-08-2024,Rangamati Sadar,20,F,Pixel 7a 8/128,12863,Yes,No,Yes,No,
2495,19-08-2024,Inside Rangamati,49,F,iPhone 16 Pro Max 1TB,25076,No,No,No,Yes,
2496,19-08-2024,Rangamati Sadar,20,F,Vivo Y200 5G 6/128,23524,Yes,Yes,No,No,
2497,19-08-2024,Inside Rangamati,38,M,iQOO Neo 9 Pro 5G 12/256,12880,No,No,No,Yes,
2498,19-08-2024,Inside Rangamati,21,M,Vivo Y200 5G 6/128,25078,No,No,No,No,
2499,19-08-2024,Outside Rangamati,19,F,Vivo T3x 5G 8/128,25603,No,No,No,No,
2500,19-08-2024,Rangamati Sadar,19,F,R-70 Turbo 5G 6/128,24528,No,Yes,No,Yes,
2501,19-08-2024,Inside Rangamati,26,F,R-70 Turbo 5G 6/128,24714,Yes,No,No,No,
2502,19-08-2024,Outside Rangamati,28,F,Pixel 8 Pro 12/256,19995,No,No,No,Yes,
2503,19-08-2024,Rangamati Sadar,22,M,iPhone 16 Pro Max 1TB,18953,No,Yes,No,Yes,
2504,19-08-2024,Inside Rangamati,20,F,Pixel 7a 8/128,13452,Yes,No,No,Yes,
2505,19-08-2024,Inside Rangamati,19,F,Vivo Y200 5G 6/128,20757,No,Yes,No,No,
2506,20-08-2024,Outside Rangamati,38,F,iPhone 16 Pro Max 1TB,23101,Yes,Yes,Yes,Yes,
2507,20-08-2024,Outside Rangamati,32,M,Vivo Y200 5G 6/128,25416,No,Yes,No,No,
2508,20-08-2024,Rangamati Sadar,27,F,Galaxy S24 Ultra 12/256,103179,No,Yes,No,Yes,
2509,20-08-2024,Outside Rangamati,45,M,R-70 Turbo 5G 6/128,24449,No,No,No,No,
2510,20-08-2024,Outside Rangamati,39,M,Pixel 8 Pro 12/256,24180,No,Yes,Yes,No,
2511,20-08-2024,Rangamati Sadar,19,F,iQOO Neo 9 Pro 5G 12/256,18425,No,No,No,Yes,
2512,20-08-2024,Rangamati Sadar,49,M,Galaxy M35 5G 8/128,25542,No,No,No,No,
2513,20-08-2024,Outside Rangamati,26,F,R-70 Turbo 5G 6/128,22267,No,No,Yes,No,
2514,20-08-2024,Inside Rangamati,49,F,Narzo N53 4/64,15989,Yes,No,No,Yes,
2515,20-08-2024,Rangamati Sadar,40,F,iPhone 16 Pro Max 1TB,16685,Yes,Yes,No,Yes,
2516,20-08-2024,Rangamati Sadar,21,M,Vivo T3x 5G 8/128,17479,No,No,No,No,
2517,20-08-2024,Rangamati Sadar,48,M,iQOO Neo 9 Pro 5G 12/256,23399,No,No,Yes,No,
2518,20-08-2024,Outside Rangamati,37,M,Note 14 Pro 5G 8/256,36725,No,No,Yes,Yes,
2519,20-08-2024,Inside Rangamati,32,F,Note 11S 6/128,25036,No,No,No,No,
2520,20-08-2024,Inside Rangamati,38,F,Galaxy A55 5G 8/128,13890,No,Yes,No,Yes,
2521,20-08-2024,Rangamati Sadar,49,M,Note 11S 6/128,18408,Yes,Yes,No,Yes,
2522,20-08-2024,Outside Rangamati,23,M,Narzo N53 4/64,17039,No,No,Yes,Yes,
2523,20-08-2024,Rangamati Sadar,22,M,Note 11S 6/128,16719,No,Yes,No,Yes,
2524,20-08-2024,Rangamati Sadar,37,M,Galaxy A55 5G 8/128,20171,No,No,No,Yes,
2525,20-08-2024,Rangamati Sadar,27,F,Pixel 8 Pro 12/256,48511,No,No,No,Yes,
2526,20-08-2024,Outside Rangamati,24,F,Galaxy S24 Ultra 12/256,24252,No,Yes,No,Yes,
2527,20-08-2024,Outside Rangamati,48,M,Note 14 Pro 5G 8/256,23531,No,No,Yes,No,
2528,20-08-2024,Inside Rangamati,34,F,Note 14 Pro 5G 8/256,20775,No,No,Yes,Yes,
2529,20-08-2024,Outside Rangamati,31,M,Vivo Y200 5G 6/128,13426,Yes,No,No,No,
2530,20-08-2024,Outside Rangamati,27,M,Note 14 Pro 5G 8/256,23037,Yes,Yes,No,Yes,
2531,20-08-2024,Inside Rangamati,39,M,iPhone 16 Pro 256GB,47028,Yes,No,No,No,
2532,20-08-2024,Inside Rangamati,35,M,Galaxy A55 5G 8/128,14433,Yes,No,No,No,
2533,20-08-2024,Outside Rangamati,48,F,iPhone 16 Pro Max 1TB,17260,No,Yes,No,No,
2534,20-08-2024,Inside Rangamati,45,F,iPhone 16 Pro 256GB,39186,No,No,No,Yes,
2535,20-08-2024,Inside Rangamati,47,F,Narzo N53 4/64,25034,No,No,No,No,
2536,20-08-2024,Outside Rangamati,35,M,Narzo N53 4/64,13618,No,No,Yes,No,
2537,20-08-2024,Inside Rangamati,38,F,iQOO Z7 5G 6/128,23405,No,No,No,No,
2538,20-08-2024,Inside Rangamati,48,M,iQOO Neo 9 Pro 5G 12/256,15252,No,No,No,Yes,
2539,20-08-2024,Outside Rangamati,40,M,Pixel 7a 8/128,15984,No,Yes,Yes,Yes,
2540,20-08-2024,Rangamati Sadar,38,M,Vivo Y200 5G 6/128,20681,No,No,Yes,No,
2541,20-08-2024,Rangamati Sadar,28,F,iPhone 16 Pro Max 1TB,21576,Yes,No,Yes,Yes,
2542,20-08-2024,Rangamati Sadar,28,M,Narzo N53 4/64,22922,No,No,No,Yes,
2543,21-08-2024,Inside Rangamati,48,F,Note 11S 6/128,22152,No,No,No,Yes,
2544,21-08-2024,Inside Rangamati,50,M,Vivo T3x 5G 8/128,16860,No,Yes,No,No,
2545,21-08-2024,Outside Rangamati,40,F,Vivo T3x 5G 8/128,26189,No,Yes,Yes,No,
2546,21-08-2024,Inside Rangamati,41,F,iQOO Z7 5G 6/128,23395,No,Yes,No,No,
2547,21-08-2024,Rangamati Sadar,27,M,Redmi Note 12 Pro 8/128,12900,No,Yes,No,Yes,
2548,21-08-2024,Rangamati Sadar,29,M,Note 11S 6/128,18602,Yes,No,No,Yes,
2549,21-08-2024,Inside Rangamati,41,M,Moto G85 5G 8/128,26328,No,No,No,Yes,
2550,21-08-2024,Rangamati Sadar,50,F,iPhone 16 Pro 256GB,23985,No,No,Yes,No,
2551,21-08-2024,Outside Rangamati,31,M,Narzo N53 4/64,15821,No,No,No,Yes,
2552,21-08-2024,Rangamati Sadar,48,F,Moto G85 5G 8/128,26073,Yes,Yes,Yes,Yes,
2553,21-08-2024,Outside Rangamati,25,F,Pixel 7a 8/128,23136,No,No,Yes,Yes,
2554,21-08-2024,Rangamati Sadar,48,F,Galaxy S24 Ultra 12/256,26152,Yes,No,Yes,Yes,
2555,21-08-2024,Rangamati Sadar,38,M,iQOO Z7 5G 6/128,20731,No,Yes,No,Yes,
2556,21-08-2024,Rangamati Sadar,29,M,Pixel 8 Pro 12/256,17237,Yes,No,No,Yes,
2557,21-08-2024,Outside Rangamati,48,M,Note 14 Pro 5G 8/256,26696,No,Yes,No,Yes,
2558,21-08-2024,Inside Rangamati,35,F,iQOO Neo 9 Pro 5G 12/256,20537,No,No,No,Yes,
2559,21-08-2024,Rangamati Sadar,28,M,iQOO Neo 9 Pro 5G 12/256,22316,No,Yes,No,No,
2560,21-08-2024,Outside Rangamati,49,M,iQOO Z7 5G 6/128,20796,No,Yes,No,No,
2561,21-08-2024,Outside Rangamati,30,M,Galaxy A55 5G 8/128,25739,No,No,No,No,
2562,21-08-2024,Outside Rangamati,31,F,Pixel 7a 8/128,16020,Yes,No,No,Yes,
2563,21-08-2024,Outside Rangamati,47,M,Galaxy A55 5G 8/128,18792,No,No,No,Yes,
2564,21-08-2024,Outside Rangamati,27,M,iPhone 16 Pro Max 1TB,19386,Yes,No,No,Yes,
2565,21-08-2024,Rangamati Sadar,29,F,Redmi Note 12 Pro 8/128,16153,No,No,No,Yes,
2566,21-08-2024,Rangamati Sadar,48,F,Galaxy A55 5G 8/128,24825,No,Yes,No,Yes,
2567,21-08-2024,Inside Rangamati,41,F,iPhone 16 Pro 256GB,17621,No,No,No,No,
2568,21-08-2024,Outside Rangamati,35,F,Vivo T3x 5G 8/128,15866,Yes,No,No,Yes,
2569,21-08-2024,Rangamati Sadar,21,M,Vivo T3x 5G 8/128,18930,No,Yes,Yes,No,
2570,21-08-2024,Outside Rangamati,32,F,Vivo Y200 5G 6/128,24901,Yes,No,No,No,
2571,21-08-2024,Inside Rangamati,22,M,iPhone 16 Pro 256GB,19741,No,No,No,Yes,
2572,21-08-2024,Inside Rangamati,32,F,iPhone 16 Pro 256GB,16510,Yes,Yes,Yes,No,
2573,21-08-2024,Outside Rangamati,18,M,Pixel 7a 8/128,17264,No,Yes,Yes,No,
2574,21-08-2024,Inside Rangamati,31,F,Vivo Y200 5G 6/128,25467,No,Yes,No,Yes,
2575,21-08-2024,Outside Rangamati,40,M,Pixel 8 Pro 12/256,19158,No,Yes,No,Yes,
2576,21-08-2024,Outside Rangamati,35,F,Pixel 8 Pro 12/256,19512,Yes,No,Yes,Yes,
2577,21-08-2024,Outside Rangamati,30,F,Pixel 8 Pro 12/256,16643,Yes,Yes,No,Yes,
2578,21-08-2024,Rangamati Sadar,45,M,Galaxy S24 Ultra 12/256,103130,No,No,No,Yes,
2579,21-08-2024,Outside Rangamati,48,M,Pixel 8 Pro 12/256,42598,No,No,No,No,
2580,22-08-2024,Outside Rangamati,46,F,Galaxy M35 5G 8/128,16158,No,Yes,No,Yes,
2581,22-08-2024,Rangamati Sadar,43,M,iQOO Neo 9 Pro 5G 12/256,14873,No,No,No,Yes,
2582,22-08-2024,Inside Rangamati,36,M,Galaxy M35 5G 8/128,26525,Yes,No,No,No,
2583,22-08-2024,Outside Rangamati,21,M,Note 14 Pro 5G 8/256,25742,No,Yes,No,Yes,
2584,22-08-2024,Outside Rangamati,31,F,iQOO Z7 5G 6/128,24890,Yes,No,Yes,No,
2585,22-08-2024,Outside Rangamati,29,F,iQOO Z7 5G 6/128,20862,No,No,No,Yes,
2586,22-08-2024,Inside Rangamati,19,F,iPhone 16 Pro 256GB,42277,No,No,Yes,Yes,
2587,22-08-2024,Outside Rangamati,48,M,Galaxy M35 5G 8/128,13342,Yes,No,No,No,
2588,22-08-2024,Outside Rangamati,25,M,iPhone 16 Pro Max 1TB,22773,Yes,Yes,No,No,
2589,22-08-2024,Inside Rangamati,18,M,Pixel 8 Pro 12/256,26946,No,No,No,No,
2590,22-08-2024,Outside Rangamati,48,F,Redmi Note 12 Pro 8/128,23908,No,No,Yes,Yes,
2591,22-08-2024,Rangamati Sadar,21,M,Vivo Y200 5G 6/128,23554,Yes,Yes,No,Yes,
2592,22-08-2024,Inside Rangamati,49,F,Vivo Y200 5G 6/128,49596,No,No,No,Yes,
2593,22-08-2024,Inside Rangamati,23,F,iQOO Z7 5G 6/128,14705,Yes,No,No,Yes,
2594,22-08-2024,Outside Rangamati,49,M,Redmi Note 12 Pro 8/128,14511,No,No,No,Yes,
2595,22-08-2024,Rangamati Sadar,32,M,Galaxy A55 5G 8/128,13413,Yes,No,Yes,No,
2596,22-08-2024,Rangamati Sadar,39,M,Pixel 8 Pro 12/256,111011,No,No,No,Yes,
2597,22-08-2024,Outside Rangamati,48,F,Vivo T3x 5G 8/128,12724,Yes,Yes,No,No,
2598,22-08-2024,Outside Rangamati,48,F,iQOO Z7 5G 6/128,25877,No,No,Yes,Yes,
2599,22-08-2024,Rangamati Sadar,42,F,iQOO Z7 5G 6/128,18213,No,No,Yes,Yes,
2600,22-08-2024,Rangamati Sadar,24,M,Moto G85 5G 8/128,25290,No,Yes,No,Yes,
2601,22-08-2024,Rangamati Sadar,43,F,Galaxy A55 5G 8/128,39641,No,No,No,Yes,
2602,22-08-2024,Outside Rangamati,42,F,Narzo N53 4/64,17002,No,Yes,No,Yes,
2603,22-08-2024,Inside Rangamati,48,M,Redmi Note 12 Pro 8/128,27220,No,Yes,No,Yes,
2604,22-08-2024,Inside Rangamati,41,M,iQOO Neo 9 Pro 5G 12/256,40074,Yes,No,Yes,No,
2605,23-08-2024,Rangamati Sadar,24,F,Galaxy M35 5G 8/128,21682,Yes,No,No,No,
2606,23-08-2024,Outside Rangamati,41,F,Narzo N53 4/64,13593,Yes,No,No,No,
2607,23-08-2024,Outside Rangamati,47,F,iQOO Z7 5G 6/128,20941,Yes,Yes,Yes,Yes,
2608,23-08-2024,Rangamati Sadar,25,F,iPhone 16 Pro 256GB,21408,Yes,No,No,No,
2609,23-08-2024,Inside Rangamati,36,F,iPhone 16 Pro 256GB,19838,No,No,Yes,No,
2610,23-08-2024,Rangamati Sadar,27,M,iPhone 16 Pro 256GB,22996,No,No,No,Yes,
2611,23-08-2024,Outside Rangamati,19,M,iPhone 16 Pro Max 1TB,25138,Yes,No,No,Yes,
2612,23-08-2024,Rangamati Sadar,40,M,Note 14 Pro 5G 8/256,14077,No,No,No,No,
2613,23-08-2024,Rangamati Sadar,29,F,Vivo Y200 5G 6/128,15184,Yes,Yes,No,No,
2614,23-08-2024,Outside Rangamati,47,F,iQOO Z7 5G 6/128,16666,Yes,No,Yes,Yes,
2615,23-08-2024,Outside Rangamati,44,F,R-70 Turbo 5G 6/128,19777,No,No,No,Yes,
2616,23-08-2024,Rangamati Sadar,19,M,iPhone 16 Pro 256GB,19813,Yes,Yes,No,Yes,
2617,23-08-2024,Rangamati Sadar,36,M,iPhone 16 Pro Max 1TB,20277,No,No,Yes,No,
2618,23-08-2024,Outside Rangamati,44,F,Galaxy A55 5G 8/128,21179,Yes,Yes,No,Yes,
2619,23-08-2024,Inside Rangamati,19,M,iPhone 16 Pro 256GB,22289,No,No,No,Yes,
2620,23-08-2024,Rangamati Sadar,35,F,iPhone 16 Pro Max 1TB,41770,No,No,No,Yes,
2621,23-08-2024,Rangamati Sadar,32,M,Galaxy A55 5G 8/128,19587,No,No,No,Yes,
2622,23-08-2024,Rangamati Sadar,24,M,Galaxy S24 Ultra 12/256,20844,Yes,No,Yes,Yes,
2623,23-08-2024,Rangamati Sadar,24,M,Moto G85 5G 8/128,26369,No,No,No,Yes,
2624,23-08-2024,Outside Rangamati,43,M,Galaxy S24 Ultra 12/256,17823,No,No,No,Yes,
2625,23-08-2024,Rangamati Sadar,35,M,Redmi Note 12 Pro 8/128,17444,No,Yes,No,No,
2626,23-08-2024,Outside Rangamati,49,F,Vivo Y200 5G 6/128,16155,Yes,Yes,No,Yes,
2627,23-08-2024,Outside Rangamati,27,M,Pixel 8 Pro 12/256,66497,No,No,No,Yes,
2628,23-08-2024,Rangamati Sadar,40,M,Pixel 8 Pro 12/256,18395,No,Yes,No,No,
2629,23-08-2024,Outside Rangamati,47,F,Redmi Note 12 Pro 8/128,23534,Yes,Yes,No,Yes,
2630,24-08-2024,Rangamati Sadar,21,F,Redmi Note 12 Pro 8/128,21898,Yes,Yes,No,Yes,
2631,24-08-2024,Inside Rangamati,37,F,Moto G85 5G 8/128,17898,No,Yes,No,No,
2632,24-08-2024,Rangamati Sadar,35,F,Galaxy M35 5G 8/128,26274,Yes,No,No,Yes,
2633,24-08-2024,Outside Rangamati,28,M,Galaxy A55 5G 8/128,39863,Yes,No,No,Yes,
2634,24-08-2024,Inside Rangamati,37,F,Note 14 Pro 5G 8/256,36049,Yes,No,Yes,Yes,
2635,24-08-2024,Inside Rangamati,19,F,Vivo T3x 5G 8/128,24061,No,No,No,No,
2636,24-08-2024,Outside Rangamati,38,F,R-70 Turbo 5G 6/128,14267,No,No,No,No,
2637,24-08-2024,Rangamati Sadar,43,M,Note 14 Pro 5G 8/256,16551,No,No,No,Yes,
2638,24-08-2024,Outside Rangamati,42,F,Galaxy S24 Ultra 12/256,74360,No,No,Yes,Yes,
2639,24-08-2024,Outside Rangamati,24,M,Note 14 Pro 5G 8/256,18100,No,Yes,Yes,No,
2640,24-08-2024,Inside Rangamati,48,M,Pixel 8 Pro 12/256,71207,No,No,No,Yes,
2641,24-08-2024,Rangamati Sadar,29,F,Moto G85 5G 8/128,26736,No,No,No,No,
2642,24-08-2024,Outside Rangamati,48,F,Galaxy A55 5G 8/128,26758,No,Yes,No,Yes,
2643,24-08-2024,Rangamati Sadar,34,F,Galaxy M35 5G 8/128,16225,No,No,Yes,No,
2644,24-08-2024,Rangamati Sadar,42,M,iPhone 16 Pro Max 1TB,20022,Yes,No,No,No,
2645,24-08-2024,Inside Rangamati,32,M,Galaxy M35 5G 8/128,25838,No,No,Yes,No,
2646,24-08-2024,Outside Rangamati,45,M,iQOO Z7 5G 6/128,23096,Yes,No,No,No,
2647,24-08-2024,Outside Rangamati,40,M,Pixel 7a 8/128,13587,No,Yes,No,No,
2648,24-08-2024,Outside Rangamati,46,F,iQOO Neo 9 Pro 5G 12/256,14367,No,No,No,No,
2649,24-08-2024,Inside Rangamati,28,M,iQOO Neo 9 Pro 5G 12/256,17537,No,No,No,Yes,
2650,24-08-2024,Outside Rangamati,30,F,Galaxy S24 Ultra 12/256,13361,Yes,No,No,Yes,
2651,24-08-2024,Rangamati Sadar,38,F,iPhone 16 Pro 256GB,26670,Yes,No,No,Yes,
2652,24-08-2024,Rangamati Sadar,21,M,Pixel 8 Pro 12/256,111592,No,Yes,No,No,
2653,24-08-2024,Outside Rangamati,37,F,iPhone 16 Pro 256GB,26124,No,Yes,Yes,No,
2654,24-08-2024,Inside Rangamati,26,M,Pixel 8 Pro 12/256,111521,No,Yes,Yes,No,
2655,24-08-2024,Inside Rangamati,19,M,iPhone 16 Pro Max 1TB,17700,No,Yes,No,Yes,
2656,24-08-2024,Inside Rangamati,38,M,iPhone 16 Pro Max 1TB,22181,No,No,No,Yes,
2657,25-08-2024,Outside Rangamati,25,F,Note 14 Pro 5G 8/256,21682,Yes,Yes,No,Yes,
2658,25-08-2024,Outside Rangamati,33,F,iQOO Z7 5G 6/128,20014,No,No,No,No,
2659,25-08-2024,Inside Rangamati,26,F,R-70 Turbo 5G 6/128,15681,Yes,Yes,Yes,No,
2660,25-08-2024,Rangamati Sadar,23,M,iQOO Z7 5G 6/128,16768,No,Yes,Yes,No,
2661,25-08-2024,Rangamati Sadar,40,F,iQOO Z7 5G 6/128,20813,No,Yes,No,No,
